District,Total Area,Land,Inland waters,Total Person,Male,Female,Less than 15 years,15 - 59 Years,60 years and over,TotalLit_15_24,MaleLit_15_24,FemaleLit_15_24,TotalLit15Abv,Population density
Ampara,4414.9,4221.9,193.0,648057,314810,333247,194654,401607,51796,98.37350382,98.79328628,97.96098811,88.60670434,146.79
Anuradhapura,7179.3,6664.3,515.0,856232,419426,436806,236458,543460,76314,98.20919138,99.19504747,97.29529798,93.44277776,119.26
Badulla,2861.3,2827.3,34.0,811758,390316,421442,224802,494621,92335,95.92070121,94.93917959,96.76875337,83.1983402,283.7
Batticaloa,2854.3,2610.3,244.0,525142,250837,274305,164394,321868,38880,93.8024532,92.31528641,95.37166568,80.23210482,183.98
Colombo,698.7,675.7,23.0,2309809,1137114,1172695,516741,1484820,308248,98.39203519,99.47343175,97.11520708,95.47487576,3305.87
Galle,1651.6,1616.6,35.0,1058771,508497,550274,268217,636680,153874,98.86436055,98.88619054,98.8424388,96.53260698,641.06
Gampaha,1386.6,1340.6,46.0,2294641,1115349,1179292,536758,1467497,290386,99.52525375,99.63777949,99.41441094,96.62911844,1654.87
Hambantota,2609.3,2496.3,113.0,596617,293567,303050,157259,369879,69479,99.7377551,99.42065719,100.0,87.59934702,228.65
Jaffna,1025.3,929.3,96.0,583378,275533,307845,144866,354732,83780,99.58651798,99.79627046,99.38863561,94.9863095,568.98
Kalutara,1597.6,1575.6,22.0,1217260,590781,626479,303196,744100,169964,99.51808429,100.0,99.05001178,93.7800734,761.93
Kandy,1939.5,1916.5,23.0,1369899,649790,720109,358152,829753,181994,99.32553414,99.67706956,99.02396283,91.53914713,706.32
Kegalle,1692.8,1684.8,8.0,836603,400083,436520,204261,510595,121747,98.08056162,98.29530321,97.88060639,94.51214811,494.21
Kilinochchi,1279.3,1205.3,74.0,112875,55658,57217,37315,65734,9826,98.53913043,97.870265,99.03928007,91.10898512,88.23
Kurunegala,4815.8,4623.8,192.0,1610299,775061,835238,403394,1001966,204939,99.04931694,98.99599447,99.09802668,93.93536646,334.38
Mannar,1996.2,1880.2,116.0,99051,49967,49084,28960,62256,7835,98.65365197,98.54454725,98.74753981,98.47137407,49.62
Matale,1993.3,1952.3,41.0,482229,232855,249374,127811,296586,57832,98.23015606,97.27659275,98.96297497,87.87271232,241.92
Matara,1282.5,1269.5,13.0,809344,388604,420740,205987,485396,117961,98.28988405,99.65857065,97.0226035,90.13105988,631.07
Moneragala,5638.7,5507.7,131.0,448142,223469,224673,121882,285329,40931,98.55258628,100.0,97.16140761,89.60995094,79.48
Mullaitivu,2616.9,2414.9,202.0,91947,46180,45767,28409,55882,7656,99.36458628,100.0,98.78999731,96.71269282,35.14
Nuwara Eliya,1741.2,1706.2,35.0,706588,338646,367942,205617,417982,82989,98.51852655,98.58798132,98.45336633,83.17587158,405.81
Polonnaruwa,3293.2,3077.2,216.0,403335,199841,203494,108266,256457,38612,95.36675994,91.76604884,99.09679831,88.05877387,122.48
Puttalam,3072.4,2882.4,190.0,759776,368860,390916,213225,469117,77434,97.9644874,98.29145729,97.59407958,90.22509573,247.29
Ratnapura,3275.4,3236.4,39.0,1082277,535020,547257,268379,675910,137988,98.60107142,98.19099974,98.94684647,89.22734905,330.43
Trincomalee,2726.8,2528.8,198.0,378182,187357,190825,121726,225573,30883,99.14030068,99.1347947,99.14496696,88.48586255,138.69
Vavuniya,1966.9,1860.9,106.0,171511,84780,86731,48198,108667,14646,97.56703416,98.9824803,96.43294925,92.39931631,87.2
